"","Date","mine_water_level"
"4371",2020-09-29,115.4
"4372",2020-09-30,115.4
"4373",2020-10-01,115.36
"4374",2020-10-02,115.33
"4375",2020-10-03,115.3
"4376",2020-10-04,115.3
"4377",2020-10-05,115.35
"4378",2020-10-06,115.36
"4379",2020-10-07,115.37
"4380",2020-10-08,115.41
"4381",2020-10-09,115.41
"4382",2020-10-10,115.41
"4383",2020-10-11,115.41
"4384",2020-10-12,115.41
"4385",2020-10-13,115.38
"4386",2020-10-14,115.39
"4387",2020-10-15,115.4
"4388",2020-10-16,115.41
"4389",2020-10-17,115.41
"4390",2020-10-18,115.41
"4391",2020-10-19,115.41
"4392",2020-10-20,115.36
"4393",2020-10-21,115.35
"4394",2020-10-22,115.37
"4395",2020-10-23,115.38
"4396",2020-10-24,115.38
"4397",2020-10-25,115.35
"4398",2020-10-26,115.34
"4399",2020-10-27,115.35
"4400",2020-10-28,115.35
"4401",2020-10-29,115.37
"4402",2020-10-30,115.39
"4403",2020-10-31,115.41
"4404",2020-11-01,115.38
"4405",2020-11-02,115.36
"4406",2020-11-03,115.4
"4407",2020-11-04,115.44
"4408",2020-11-05,115.49
"4409",2020-11-06,115.46
"4410",2020-11-07,115.41
"4411",2020-11-08,115.4
"4412",2020-11-09,115.4
"4413",2020-11-10,115.41
"4414",2020-11-11,115.42
"4415",2020-11-12,115.37
"4416",2020-11-13,115.38
"4417",2020-11-14,115.38
"4418",2020-11-15,115.35
"4419",2020-11-16,115.35
"4420",2020-11-17,115.41
"4421",2020-11-18,115.43
"4422",2020-11-19,115.41
"4423",2020-11-20,115.45
"4424",2020-11-21,115.44
"4425",2020-11-22,115.4
"4426",2020-11-23,115.4
"4427",2020-11-24,115.4
"4428",2020-11-25,115.34
"4429",2020-11-26,115.37
"4430",2020-11-27,115.37
"4431",2020-11-28,115.36
"4432",2020-11-29,115.4
"4433",2020-11-30,115.41
"4434",2020-12-01,115.34
"4435",2020-12-02,115.38
"4436",2020-12-03,115.32
"4437",2020-12-04,115.19
"4438",2020-12-05,115.26
"4439",2020-12-06,115.31
"4440",2020-12-07,115.31
"4441",2020-12-08,115.32
"4442",2020-12-09,115.35
"4443",2020-12-10,115.34
"4444",2020-12-11,115.31
"4445",2020-12-12,115.27
"4446",2020-12-13,115.36
"4447",2020-12-14,115.35
"4448",2020-12-15,115.35
"4449",2020-12-16,115.4
"4450",2020-12-17,115.38
"4451",2020-12-18,115.42
"4452",2020-12-19,115.38
"4453",2020-12-20,115.38
"4454",2020-12-21,115.4
"4455",2020-12-22,115.35
"4456",2020-12-23,115.37
"4457",2020-12-24,115.34
"4458",2020-12-25,115.4
"4459",2020-12-26,115.43
"4460",2020-12-27,115.3
"4461",2020-12-28,115.21
"4462",2020-12-29,115.27
"4463",2020-12-30,115.35
"4464",2020-12-31,115.37
"4465",2021-01-01,115.39
"4466",2021-01-02,115.42
"4467",2021-01-03,115.41
"4468",2021-01-04,115.4
"4469",2021-01-05,115.39
"4470",2021-01-06,115.4
"4471",2021-01-07,115.41
"4472",2021-01-08,115.38
"4473",2021-01-09,115.42
"4474",2021-01-10,115.42
"4475",2021-01-11,115.41
"4476",2021-01-12,115.34
"4477",2021-01-13,115.39
"4478",2021-01-14,115.39
"4479",2021-01-15,115.41
"4480",2021-01-16,115.47
"4481",2021-01-17,115.37
"4482",2021-01-18,115.42
"4483",2021-01-19,115.37
"4484",2021-01-20,115.33
"4485",2021-01-21,115.27
"4486",2021-01-22,115.27
"4487",2021-01-23,115.33
"4488",2021-01-24,115.31
"4489",2021-01-25,115.32
"4490",2021-01-26,115.4
"4491",2021-01-27,115.39
"4492",2021-01-28,115.34
"4493",2021-01-29,115.31
"4494",2021-01-30,115.31
"4495",2021-01-31,115.31
"4496",2021-02-01,115.24
"4497",2021-02-02,115.29
"4498",2021-02-03,115.31
"4499",2021-02-04,115.37
"4500",2021-02-05,115.34
"4501",2021-02-06,115.31
"4502",2021-02-07,115.23
"4503",2021-02-08,115.2
"4504",2021-02-09,115.21
"4505",2021-02-10,115.22
"4506",2021-02-11,115.29
"4507",2021-02-12,115.3
"4508",2021-02-13,115.32
"4509",2021-02-14,115.29
"4510",2021-02-15,115.21
"4511",2021-02-16,115.14
"4512",2021-02-17,115.1
"4513",2021-02-18,115.09
"4514",2021-02-19,115.1
"4515",2021-02-20,115.06
"4516",2021-02-21,115.04
"4517",2021-02-22,115.04
"4518",2021-02-23,115.07
"4519",2021-02-24,115.07
"4520",2021-02-25,115.03
"4521",2021-02-26,115.05
"4522",2021-02-27,115.06
"4523",2021-02-28,115.05
"4524",2021-03-01,115
"4525",2021-03-02,115
"4526",2021-03-03,114.99
"4527",2021-03-04,114.96
"4528",2021-03-05,114.92
"4529",2021-03-06,114.97
"4530",2021-03-07,114.93
"4531",2021-03-08,114.87
"4532",2021-03-09,114.85
"4533",2021-03-10,114.86
"4534",2021-03-11,114.77
"4535",2021-03-12,114.78
"4536",2021-03-13,114.73
"4537",2021-03-14,114.75
"4538",2021-03-15,114.78
"4539",2021-03-16,114.84
"4540",2021-03-17,114.88
"4541",2021-03-18,114.83
"4542",2021-03-19,114.78
"4543",2021-03-20,114.78
"4544",2021-03-21,114.8
"4545",2021-03-22,114.76
"4546",2021-03-23,114.74
"4547",2021-03-24,114.74
"4548",2021-03-25,114.74
"4549",2021-03-26,114.74
"4550",2021-03-27,114.7
"4551",2021-03-28,114.75
"4552",2021-03-29,114.71
"4553",2021-03-30,114.72
"4554",2021-03-31,114.73
